no,text
159,implement security timestamp in web service consumer . add support for ws-security timestamp in the web service consumer component .
160,implement security username token profile in web service consumer . add support for ws-security username token profile in the web service consumer component .
161,loader.override being ignored in 3.5.0-cascade - cloudhub ( dec 2013 ) runtime . the connector is using cxf 2.6.0 dependencies   and it has defined a plugin.properties with the follow line loader.override=org.apache.cxf   org.apache.ws   org.apache.xml in 3.5 with cloudhub ( dec 2013 ) runtime environment the same application fails because is invoking one operation that is not defined in cxf 2.5.9. the same application is working correctly on mule studio 3.4. the demo application can be found in here ( https : //docs.google.com/a/mulesoft.com/file/d/0b9ow2z2e_0ymotllsurndmwxzxfdcfm4mu4wodb0vllycjfz/edit ) . the connector version that is working can be located in here ( https : //github.com/mulesoft/ms-dynamics-crm-connector/tree/mule-module-ms-dynamics-crm-1.7.1 )
162,add support for inline named parameters inside database message processors . add support for named parameters inside database message processors . ( select   insert   etc ) example : { code } < db : select > < db : parameterized-sql > select * from test where id = : id < /db : parameterized-sql > < db : in-param name= '' id '' value= '' # [ payload.id ] '' / > < /db : select > { code }
163,define the type of the payload of the web service consumer . currently the web service consumer adds an autotransformer so that the payload in the response is set as a string . ideally the payload should be an xmlstreamreader but this does n't work with datamapper . using the transformer and converting to a string may cause performance issues . if the payload is xmlstreamreader   a transformer can be added after the wsconsumer but this breaks data sense . define the correct approach .
164,restart applications automatically even after failure . when using studio   it saves my changes to disk and mule restarts my application automatically - which is wonderful   because i can rapidly prototype my application . however   if i make a syntax error   mule will cease to redeploy my application after that   forcing me to restart mule completely . mule should auto-redeploy applications   even if the last deployment failed . ( if we ca n't make that the default for 3.5   we should add a flag to support this in studio )
165,allow btm to configure username and password for jms . the bitronix connection factory should be able to receive a username and password to be used for jms connections .
166,release mule-mvel2 v2.1.8-mule001 . release a new version of mule-mvel2   and upload it to codehaus repos . version is tagged with label : mule-mvel2-2.1.8-mule001 in the git repository . besides   we need to create build plan in bamboo ce
167,ws consumer throws nullpointerexception when defining an empty security element . when defining a global configuration element for ws consumer that has an empty security element ( defined but empty )   a null pointer is thrown upon initialisation . < ws : consumer-config ... > < ws : security > < /ws : security > < /ws : consumer-config >
168,request reply does not work when using specific connector . when the inbound endpoint of a request-reply router uses an specific connector   different to the default one for that transport   then it does not work since it can not find the endpoint . < request-reply > < vm : outbound-endpoint path= '' persistentqueue '' connector-ref= '' sharedpersistentvmconnector '' / > < vm : inbound-endpoint path= '' persistentqueueresponse '' connector-ref= '' sharedpersistentvmconnector '' / > < /request-reply > adding the connector as attribute of the path makes it work : < request-reply > < vm : outbound-endpoint path= '' persistentqueue '' connector-ref= '' sharedpersistentvmconnector '' / > < vm : inbound-endpoint path= '' persistentqueueresponse ? connector=sharedpersistentvmconnector '' connector-ref= '' sharedpersistentvmconnector '' / > < /request-reply > to solve this problem the replyto property must be generated with the specific connector if available .
169,move scatter-gather config elements to the top . scatter-gather component has two config elements : threading-profile and custom-aggregation-strategy . right now   those share a sequence with the inner message processors in which its defined that these elements go on the bottom . for consistency with other components   they should be moved to the top   so that what used to be : < scatter-gather timeout= '' 5000 '' > < flow-ref name= '' a '' / > < vm : outbound-endpoint path= '' foo '' / > < sfdc : upsert ..... / > < custom-aggregation-strategy [ class= '' org.my.customaggregationstrategy '' | ref= '' beanreference '' ] / > < threading-profile maxthreadsactive= '' 5 '' / > < /scatter-gather > should now be : < scatter-gather timeout= '' 5000 '' > < custom-aggregation-strategy [ class= '' org.my.customaggregationstrategy '' | ref= '' beanreference '' ] / > < threading-profile maxthreadsactive= '' 5 '' / > < flow-ref name= '' a '' / > < vm : outbound-endpoint path= '' foo '' / > < sfdc : upsert ..... / > < /scatter-gather >
170,add support for domain bundle zip file deployment . add support for deploying a mule domain bundle file . domain bundle includes not only the domain but the apps to deploy in that domain .
171,mule_remote_client_address variable gets the wrong value when http requests are proxied . if an http request is proxied   the mule_remote_client_address will have the address of the proxy instead of the client address . the x-forwarded-for header contains a comma separated list of addresses   the first of which is the original client . mule should look if the http headers contain an x-forwarded-for header   and in such case populate the mule_remote_client_address from it 's first element if such element is a valid ip address . additionally   when this situation is detected   add a new inbound property called mule_proxy_address that contains the proxy address
172,devkitsupport module should use apache commons stringutils instead of spring . replace usage of org.springframework.util.stringutils for org.apache.commons.lang.stringutils to prevent class loading issues when older projects are using prior versions of spring
173,review flaky tests in 3.x builds . . most of the slow test builds are failing because of flaky tests . we need to review them   test them locally and ignore them if necessary   saving the logs from the failures to later fix them .
174,ws consumer returns an invalid xml document when the payload contains multiple namespaces . if a soap envelope contains a body which uses at least two different namespaces   and one of those is not used in the top element   the resulting xml document does n't declare all the namespaces   and thus is not valid . example response that is not processed correctly : < soapenv : envelope xmlns : soapenv= '' http : //schemas.xmlsoap.org/soap/envelope/ '' xmlns= '' urn : enterprise.soap.xxxx '' xmlns : xsi= '' http : //www.w3.org/2001/xmlschema-instance '' > < soapenv : body > < loginresponse > < result > ... < passwordexpired > false < /passwordexpired > < sandbox > false < /sandbox > ... < roleid xsi : nil= '' true '' / > ... < /result > < /loginresponse > < /soapenv : body > < /soapenv : envelope > fails because it 's returned as : < ? xml version= '' 1.0 '' encoding= '' utf-8 '' ? > < loginresponse xmlns= '' urn : enterprise.soap.sforce.com '' > < result > ... < passwordexpired > false < /passwordexpired > < sandbox > false < /sandbox > ... < roleid xsi : nil= '' true '' / > ... < /result > < /loginresponse > note that the xsi namespace is not imported .
175,proxy service does not rewrite schema locations in the wsdl . when proxying a web service   the proxy service will publish the final service wsdl rewriting the port locations . that 's been addressed in the jira mule-7152 . however   the schema location is not rewritten   and even if it is   the proxy needs to handle proxying a request that is not a soap request . attached is an application with a proxy and a web service which wsdl has an import schema .
176,anchor file is created before application gets deployed . anchor file is created after application unzip but application is still not initialized . problem is in artifactarchiveinstaller # installartifact to reproduce : # create a zipped app with the below configuration . # copy zipped file to $ { mule_home } /apps # start mule using this command { { bin/mule start ; if [ -f $ { mule_home } /apps/application-name-anchor.txt ] ; then curl http : //127.0.0.1:8811/in ; fi } } you should receive and { { in } } message in the console but you get { { curl : ( 7 ) could n't connect to host } }
177,upgrade schema versions to 3.5 . upgrade the schema version to 3.5
178,avoid hung threads on tests cases . currently there are several tests that left running threads once they ends . these threads consume resources and could interfere with other tests . this task aims to add checks at top level tests hierarchy in order to detect those tests leaving running threads   and then correct the them .
179,if an error occurs while configuring a just created mule context   inside defaultmulecontextfactory   this context is not disposed . several methods inside defaultmulecontextfactory class create mulecontext objects and then configure them . if the configuration phase raises an exception   the created mule context is not returned and the could not be disposed .
180,the class eventcorrelator.expiringgroupmonitoringthread has an expirymonitor member that is not disposed at dispose phase . . the dispose method of the eventcorrelator class is not taking into account the expiry monitor inside its inner class expiringgroupmonitoringthread .
181,allow new db module config to be share between applications . allow the new db config elements to be shared between applications using them as a domain resource . this will allow to share datasource connections between applications .
182,when trying to deploy app with to non existent domain nullpointerexception is logged instead of an error . try to deploy the attached application or any application to a non existent domain .
183,it should n't be allowed to deploy an application to more than one domain . try to deploy an application to more than one domain by putting this lines into mule-deploy.properties : { noformat } domain=default domain=default2 { noformat }
184,disposing a domain do not undeploy application . # deploy an application to a domain # delete domain anchor file expected : application gets undeployed actual : application remains deployed
185,should n't share an http connector without specifying it inside domain . to share a connector it should be mandatory to declare it in mule-domain-config.xml and reference it from the endpoint in connector-ref . consider the attached applications and domain .
186,transientregistry does not dispose all registered objects on dispose . . when the dispose method is called on a transientregistry instance   the current registered objects are not disposed . also   if different objects are registered using the same key   just the last object is kept and previous ones are lost . they should also be disposed at dispose phase .
187,modifying path of http inbound endpoint when sharing connector makes other application to fail . steps : # copy domain to mule installation # deploy both applications # curl http : //127.0.0.1/in/loco succeeds ( first app ) # curl http : //127.0.0.1/in2/loco succeeds ( second app ) # change path of first application from in to in1 # curl http : //127.0.0.1/in2/loco expected : curl succeed actual : curl fails
188,domain initialization result ( failure or success ) should be shown in a box at the end of the log when starting . currently   domain initialization status is shown in the logs when performed . but   in the same way that applications   it should be shown in a summary box at the end of server start .
189,nullpointerexception when tyring to override a class with loader.override . when trying o override a class with loader.override=-com.mulesoft.test.dummy get a nullpointerexception . deploy the attached application in mule standalone using bin/mule -m-dhttp.port=xxxx
190,initial preparations for the mule 4 development branch . this task will track changes made in the mule-4.x branch in order to accomodate code cleanup tasks . the scope includes : - upgrading minimum jdk to 7 - removing any jdk 6 specific code or modules - get a full maven build to run out of scope ( to be tracked in other tasks ) - removing classes and methods deprecated in mule-3.x
191,default domain should n't be configurable . you should n't be able to configure default domain by adding alibrary or putting mule-domain-config.xml inside it . to reproduce unzip the attached domains.zip file in mule_home and run bin/mule .
192,application using the same socket but not sharing connectors deploys but fails to receive requests . deployed two apps sharing an http connector and one not sharing but with an inbound endpoint listening in the same socket than the two others . the three applications get deployed but only the first two can listen for requests . # copy attached applications to apps directory # copy attached domain to domains directory # start mule by running bin/mule -m-dhttp.port=xxxx # curl http : //127.0.0.1 : xxxx/in1/loco ( success ) # curl http : //127.0.0.1 : xxxx/in2/loco ( success ) # curl http : //127.0.0.1 : xxxx/in3/loco ( fails ) < - third application
193,http inbound endpoints listen for requests in a different path . when http inbound endpoint listens to * in * path   if you send a request to path * inxxx * it receives it . to reproduce deploy this configuration using bin/mule -m-dhttp.port=yyyy and run curl http : //127.0.0.1 : yyyy/inxxx { code : xml } < ? xml version= '' 1.0 '' encoding= '' utf-8 '' ? > < mule xmlns= '' http : //www.mulesoft.org/schema/mule/core '' xmlns : xsi= '' http : //www.w3.org/2001/xmlschema-instance '' xmlns : spring= '' http : //www.springframework.org/schema/beans '' xmlns : test= '' http : //www.mulesoft.org/schema/mule/test '' xmlns : http= '' http : //www.mulesoft.org/schema/mule/http '' xmlns : vm= '' http : //www.mulesoft.org/schema/mule/vm '' xsi : schemalocation= '' http : //www.mulesoft.org/schema/mule/core http : //www.mulesoft.org/schema/mule/core/current/mule.xsd http : //www.mulesoft.org/schema/mule/test http : //www.mulesoft.org/schema/mule/test/current/mule-test.xsd http : //www.mulesoft.org/schema/mule/http http : //www.mulesoft.org/schema/mule/http/current/mule-http.xsd http : //www.mulesoft.org/schema/mule/vm http : //www.mulesoft.org/schema/mule/vm/current/mule-vm.xsd http : //www.springframework.org/schema/beans http : //www.springframework.org/schema/beans/spring-beans-3.1.xsd '' > < flow name= '' main '' > < http : inbound-endpoint host= '' 127.0.0.1 '' port= '' $ { http.port } '' path= '' in '' / > < test : component appendstring= '' received 2 '' / > < /flow > < /mule > { code }
194,ws-consumer wsdl does n't allow resource paths . the web service consumer requires the location of a wsdl file as part of it 's configuration . the location is parsed as a url and if not valid   it is parsed as a file path . the convention in mule is to treat these fields as resource paths   which would allow urls   absolute files   but will also look for resource files ( relative to the current classpath   and possibly inside a jar ) . change the behavior so that the wsdl location is treated as a reouce location .
195,disallow multiple transaction manager to be used within an application . currently if multiple transaction manager are configured in mule   as mule only supports one   it will just peek the first one . to avoid confusion to users we must not allow users to configure multiple transaction managers .
196,lack of synchronization causes multiple expiration requests on aggregator groups . the test eventcorrelatortestcase.processesexpiredgroupinprimarynode fails intermitently due to a lack of synchronization in the access to an object store between different threads   that sporadically leads to a group expiry being triggered several times . this may be a problem if the correlation is setup to process the group at expiration instead of giving an error . the problem is mitigated when using persistent object stores as i/o synchronisation is creating an adhoc happens-after causality .
197,jersey version upgrade . mule is using old jersey libraries ( 1.6 ) that would need to be upgraded to latest to develop new agent . dependent on this library are : - current agent - some example and test classes - mule-module-jersey in ce
198,oauth2 authorize messageprocessor enters a loop if it 's the last processor in the flow . consider the following flow : < flow name= '' authorizeflow '' > < http : inbound-endpoint path= '' authorize '' port= '' 8081 '' exchange-pattern= '' request-response '' > < google-calendars : authorize / > < /flow > that results in google 's oauth login screen showing up . after authorization   the browser is continuously redirected to the same page over and over again . however   if the flow is changed to this : < flow name= '' authorizeflow '' > < http : inbound-endpoint path= '' authorize '' port= '' 8081 '' exchange-pattern= '' request-response '' > < google-calendars : authorize / > < logger message= '' authorized ! '' / > < /flow > it starts to work perfectly after any message processor is placed after the authorization one . this is probably and issue due to the fact that authorize mp 's are intercepting but in the first example there 's nothing to intercept .
199,poll : watermark gives a wrong warning message when no results are returned from the query inside the poll . when polling salesforce to retrieve data using the watermark feature   a warning message saying that the watermark is null appears if the query does not bring back any data . for example   the following salesforce query : select email   firstname   lastname   lastmodifieddate from contact where lastmodifieddate > # [ flowvars [ 'timestamp ' ] ] then the following warning appears even though the watermark value is not null : warn watermark [ pool-13-thread-1 ] : watermark value is null and will be ignored
200,make the pgp module work on a fips environment . as part of making mule fips 140-2 compliant   users should be able to allow the pgp module to be fips-compliant . we should investigate the possibility of using platform 's cryptography provider instead of bouncy castle for pgp module . if it is easy to do   we should execute the task of removing bouncy castle dependencies ( create another jira first ) . setting fips mode on in mule should allow the pgp module to use only fips-compliant modules .
201,fix flaky flowsyncasyncprocessingstrategytestcase . . this is a flaky that was ignored .
202,cxf : make proxy-service and proxy-client handle multiple ports to support soap 1.1 and 1.2 messages in the same flow . nowadays   if you want to create a proxy   you have to specify the port name and the soapversion for each binding . this information is provided by the wsdl   so it should n't be required   the proxies should detect them automatically . as a consequence   if you have an api with multiple ports   one of them receiving a soap 1.1 envelope   and other one receiving a soap 1.2 envelope   and if you do n't specify the port and the soapversion in both proxies ( service and client ) you will not be able to send a soap 1.2 message . this means that a simple proxy can not be used with both types of soap versions .
203,new database module streaming feature is not working with large queries . when the streaming option of the new database module is activated   there is an error with large queries . additionally   no error message is shown and no results are returned . config : < poll doc : name= '' poll '' > < fixed-frequency-scheduler frequency= '' 1000 '' timeunit= '' minutes '' / > < watermark variable= '' timestampdb '' default-expression= '' # [ '2010-02-11 14:25:12 ' ] '' selector= '' max '' selector-expression= '' # [ payload.last_modified ] '' / > < db : select config-ref= '' mysql_config '' doc : name= '' query database '' > < db : parameterized-query > < ! [ cdata [ select first_name   last_name   email   last_modified from contact where last_modified > `` # [ flowvars [ 'timestampdb ' ] ] '' ] ] > < /db : parameterized-query > < /db : select > < /poll > same configuration without watermark was also tested and same behavior resulted .
204,deprecate < all > in favor of < scatther-gather > . now that we have an implementation of the scatter gather pattern   deprecate the < all > element in favor of it . there is a slight variation in functionality   but for most cases scatter-gather will be prefered   and the advanced cases were you need to evaluate the same payload sequentially   yet fail at the first failure   can be accomplished using wire-taps . this task requires : - issuing a warning when parsing < all > in an xml definition . - changing mule schema 's documentation to flag the deprecation in doc - deprecate class implementing the all router .
205,muleapplicationcontext renamed to muleartifactcontext breaks backwards compatibility . on mule 3.5-m4   muleapplicationcontext was renamed to muleartifactcontext . this class is used in other projects   and will break them . provide a deprecated muleapplicationcontext to avoid breaking these apps .
206,expressionsplitterxpathtestcase has wrong assertions . expressionsplitterxpathtestcase has tests which are broken but   as the assertions are not ok   they seem to pass . lines : xmlunit.comparexml ( expected_message_1   results.get ( 0 ) .tostring ( ) ) ; xmlunit.comparexml ( expected_message_2   results.get ( 1 ) .tostring ( ) ) ; should be : asserttrue ( xmlunit.comparexml ( expected_message_1   results.get ( 0 ) .tostring ( ) ) .identical ( ) ) ; asserttrue ( xmlunit.comparexml ( expected_message_2   results.get ( 1 ) .tostring ( ) ) .identical ( ) ) ;
207,ca n't use webservice consumer with operation without parameters . consider the documentation attached : the endpoint localhost:8081/ consumes a web services that takes a zip as an input parameter . that operation works perfectly . however   in localhost:8081/test i 'm trying to consume an operation which does n't take any parameters . there 's no way to make this work because : 1 ) ws consumer is expecting me to generate the soap envelope using datamapper   however   i do n't have a payload to transform so i 'm forced to create a dummy map 2 ) because the operation is expecting no parameters   the xml that datamapper generates looks like this : < ? xml version= '' 1.0 '' encoding= '' utf-8 '' ? > 3 ) the above results in ws consumer returning this error   basically because there 's no envelope to consume : org.mule.api.transport.dispatchexception : could_not_read_xml_stream . failed to route event via endpoint : org.mule.module.cxf.cxfoutboundmessageprocessor . message payload is of type : postmethod error put aside   it does n't make sense to me that : * it seems like the only easy way to generate the soap envelopes is through datamapper   which is not a ce feature like ws consumer is * how do i create a valid envelope when the operation takes no parameters ? * because envelope generation depends on datamapper   i have to drop the ws consumer box in the canvas before the datamapper one . it 's not natural for the developer to think the flow from right to left . * should n't ws consumer be capable of auto generating the envelope   at least when it requires no parameters ?
208,ca n't use ws consumer with message properties . consider the attached configuration in which i 'm trying to receive a zip as an http query param and then use that zip to invoke a weather web service . it is impossible to do so unless i use that message property to create a map in the payload and then use datamapper to create the invocation body . i should have to be forced to create completely artificial set-payload and datamapper message processors for doing something as simple as asking for the weather of a zip number . i should't have to write the soap body myself either . any of these two options defeat the purpose of the component . i should be able to just pass the ws : consumer whatever attributes the invocation takes and it should be able to construct the body .
209,number of jms consumers decreases to 1 after reconnection . after reconnection the number of jms consumers goes from 4 to 1 ( in fact to 0   but goes to 1 after queueing a message ) . steps : # install the attached mule-config.xml # start an activemq broker # copy activemq-all-5.9.0.jar to lib/user # bin/mule -m-dhttp.port=8811 # wait for deployment # go to activemq console and verify that there are 4 consumers on queue * in * # verify that application works running : curl http : //127.0.0.1:8811/jms1 and seeing that one message is queued in queue * out * # restart activemq broker # wait for console to be up # # expected : 4 consumers on queue in # # actual : 0 consumers # bin/mule -m-dhttp.port=8811 # # expected : 4 consumers on queue in # # actual : 1 consumers i 've tried setting { { numberofconsumers= '' 4 '' } } in the connector but works in the same way it 's a regression since in 3.4.1 and before works as expected tried to load the application with 1000 requests and the consumer 's number remains the same mule-config :
210,jms inbound do not reconnect to queue after broker restart . when restarting activemq a jms inbound endpoint do not reconnect . to reproduce : # install the attached mule-config.xml # start an activemq broker # copy activemq-all-5.9.0.jar to lib/user # bin/mule -m-dhttp.port=8811 # wait for deployment # verify that application works running : curl http : //127.0.0.1:8811/jms1 and seeing that one message is queued in queue out # restart activemq broker # curl http : //127.0.0.1:8811/jms1 # # expected : one message is queued on queue out # # actual : out queue has no message besides the one before restarting
211,transformer resolution in typebasedtransformerresolver fails depending on which order transformers are found . typebasedtransformerresolver uses registry to lookup all the transformers that are compatible with a given transformation . then it searches on the obtained list of transformers looking for the best match to execute the transformation . problem its that the transformers are not ordered   so the best match calculation fails to obtain a transformer when the two first transformers have the same weight but different implementation classes . in this case   if the best transformer is a third one   then it wo n't be found because the resolution will fail on the previous ones .
212,avoid transformer lookup inside registry to improve performance . transformer resolution inside muleregistryhelper implies two different lookup operations : one for transformerresolver and another for transformers . both lookup operations have a high cost as they imply that prototype beans will be created during the search process . performance can be improved   in particular avoiding high contention on the application classloader   if the mentioned lookup are not executed .
213,new database message processor : template tag is not accepting dynamic-query as a child element . steps to reproduce : 1.- execute the followed mule config : { code : xml } < ? xml version= '' 1.0 '' encoding= '' utf-8 '' ? > < mule xmlns : jdbc-ee= '' http : //www.mulesoft.org/schema/mule/ee/jdbc '' xmlns : context= '' http : //www.springframework.org/schema/context '' xmlns : db= '' http : //www.mulesoft.org/schema/mule/db '' xmlns= '' http : //www.mulesoft.org/schema/mule/core '' xmlns : doc= '' http : //www.mulesoft.org/schema/mule/documentation '' xmlns : spring= '' http : //www.springframework.org/schema/beans '' version= '' ee-3.5.0 '' xmlns : xsi= '' http : //www.w3.org/2001/xmlschema-instance '' xsi : schemalocation= '' http : //www.mulesoft.org/schema/mule/ee/jdbc http : //www.mulesoft.org/schema/mule/ee/jdbc/current/mule-jdbc-ee.xsd http : //www.springframework.org/schema/beans http : //www.springframework.org/schema/beans/spring-beans-current.xsd http : //www.mulesoft.org/schema/mule/core http : //www.mulesoft.org/schema/mule/core/current/mule.xsd http : //www.mulesoft.org/schema/mule/db http : //www.mulesoft.org/schema/mule/db/current/mule-db.xsd http : //www.springframework.org/schema/context http : //www.springframework.org/schema/context/spring-context-current.xsd '' > < db : generic-config name= '' mysql_generic_config_usingds '' url= '' jdbc : mysql : //172.16.20.163:3306/studio ? user=root & amp ; password= * * * * * '' driverclassname= '' com.mysql.jdbc.driver '' doc : name= '' generic config '' / > < db : template-query name= '' template_query '' doc : name= '' template query '' > < db : dynamic-query > < ! [ cdata [ select * from users ] ] > < /db : dynamic-query > < /db : template-query > < flow name= '' select-ft '' doc : name= '' select-ft '' > < logger level= '' info '' doc : name= '' logger '' / > < db : select config-ref= '' mysql_generic_config_usingds '' doc : name= '' database '' > < db : template-query-ref name= '' template_query '' / > < /db : select > < logger level= '' info '' doc : name= '' logger '' / > < /flow > < /mule > { code } issue : you get the followed saxparserexception { code } caused by : org.xml.sax.saxparseexception : cvc-complex-type.2.4.a : invalid content was found starting with element 'db : dynamic-query ' . one of ' { `` http : //www.mulesoft.org/schema/mule/core '' : annotations   `` http : //www.mulesoft.org/schema/mule/db '' : parameterized-query   `` http : //www.mulesoft.org/schema/mule/db '' : template-query-ref   `` http : //www.mulesoft.org/schema/mule/db '' : in-param } ' is expected . at org.apache.xerces.util.errorhandlerwrapper.createsaxparseexception ( unknown source ) at org.apache.xerces.util.errorhandlerwrapper.error ( unknown source ) at org.apache.xerces.impl.xmlerrorreporter.reporterror ( unknown source ) at org.apache.xerces.impl.xmlerrorreporter.reporterror ( unknown source ) at org.apache.xerces.impl.xmlerrorreporter.reporterror ( unknown source ) at org.apache.xerces.impl.xs.xmlschemavalidator $ xsierrorreporter.reporterror ( unknown source ) at org.apache.xerces.impl.xs.xmlschemavalidator.reportschemaerror ( unknown source ) at org.apache.xerces.impl.xs.xmlschemavalidator.handlestartelement ( unknown source ) at org.apache.xerces.impl.xs.xmlschemavalidator.startelement ( unknown source ) at org.apache.xerces.impl.xmlnsdocumentscannerimpl.scanstartelement ( unknown source ) at org.apache.xerces.impl.xmldocumentfragmentscannerimpl $ fragmentcontentdispatcher.dispatch ( unknown source ) at org.apache.xerces.impl.xmldocumentfragmentscannerimpl.scandocument ( unknown source ) at org.apache.xerces.parsers.xml11configuration.parse ( unknown source ) at org.apache.xerces.parsers.xml11configuration.parse ( unknown source ) at org.apache.xerces.parsers.xmlparser.parse ( unknown source ) at org.apache.xerces.parsers.domparser.parse ( unknown source ) at org.apache.xerces.jaxp.documentbuilderimpl.parse ( unknown source ) at org.springframework.beans.factory.xml.defaultdocumentloader.loaddocument ( defaultdocumentloader.java:75 ) at org.springframework.beans.factory.xml.xmlbeandefinitionreader.doloadbeandefinitions ( xmlbeandefinitionreader.java:388 ) ... 24 more { code }
214,new database messsage processor : rename < db : output-param / > to < db : out-param / > . to be consistent with the db : in-param   the output parameter should be named db : out-param . studio is already generating the xml as < db : out-param / >
215,fail to expand properties when using property placeholder shared in a domain . steps : # deploy the below application and domain # put domain.properties in domain root dir # bin/mule * expected : mule starts and flow listens on 127.0.0.1:8811/in1 and 127.0.0.1:8811/in2 * actual : mule fails to start because $ [ http.port ] is an invalid value for port * note : i put domain.properties file in domain root directory because in domain/classes it is not found
